id,saleprice
1461,119420.66915539013
1462,153895.31270022312
1463,185051.3546769164
1464,188147.3310998884
1465,188160.9182775515
1466,175042.9916478699
1467,180496.96501211877
1468,168500.41481216598
1469,174698.3143174574
1470,120813.2071060777
1471,202764.94556517433
1472,90267.35962847892
1473,90101.7611875071
1474,156613.29203215498
1475,149316.23212770998
1476,335028.08224290423
1477,242408.35715206238
1478,268579.43058723584
1479,271912.908218226
1480,370103.11077644315
1481,320984.16406421055
1482,190177.65344157096
1483,162772.67131180863
1484,167825.62848727094
1485,174463.05099740843
1486,190868.25704420204
1487,344075.7465247946
1488,224962.4349231579
1489,197295.313169079
1490,202811.00117388068
1491,186332.74132944108
1492,86178.33135288552
1493,178538.25907460545
1494,298181.98523271346
1495,303031.30643088167
1496,237987.08789856333
1497,183007.64597991682
1498,156679.32026034774
1499,159613.76350832995
1500,155957.01995661954
1501,177758.6695653344
1502,156530.21979614234
1503,300134.94660587725
1504,234640.02996626505
1505,228358.46859076511
1506,174059.79233810582
1507,237276.3209364093
1508,183582.93946689696
1509,162132.1293156495
1510,145143.46470987174
1511,144540.10925540255
1512,167847.7307392775
1513,146864.2217666246
1514,153249.8422121851
1515,196453.6078275814
1516,162804.95149244234
1517,155762.4113578974
1518,130549.9645253263
1519,217949.2322839823
1520,135963.23496770402
1521,138000.6881578801
1522,164624.9588107994
1523,120844.17952128476
1524,124862.97492870479
1525,126946.2339961812
1526,120885.52821015514
1527,98452.30338415444
1528,133592.51752324196
1529,151001.78445143896
1530,175737.98719931266
1531,104706.79741583925
1532,94751.95408581501
1533,141173.61217579385
1534,117886.6992184529
1535,153728.87361278446
1536,112536.38123448993
1537,56302.490553193486
1538,163375.20284053375
1539,200032.82463555443
1540,90228.23514521091
1541,149579.92992634632
1542,137129.9879341096
1543,239630.68174908063
1544,71933.72530549321
1545,98721.62881603457
1546,123357.14113178915
1547,134455.15040895212
1548,133446.0835702578
1549,117770.29895920657
1550,146314.3819394936
1551,109255.73462115102
1552,121056.93462226243
1553,140399.50697144592
1554,112868.83217037088
1555,162943.15471757113
1556,78615.35931120483
1557,101434.606833408
1558,87453.75079272136
1559,80768.94233748339
1560,141831.52603594857
1561,114470.4107853599
1562,125859.96237894466
1563,119985.37320108205
1564,153558.7492919898
1565,151000.23052414274
1566,233780.69539928378
1567,64201.89121755884
1568,227293.93139750624
1569,123571.06344096902
1570,127990.77638577201
1571,118533.1819923876
1572,149819.69118655132
1573,236726.28463046165
1574,101348.92838216323
1575,200087.37194027865
1576,216087.6307181968
1577,194545.1776837823
1578,155716.35593342638
1579,142437.99437800888
1580,183215.71962805756
1581,144291.4351752365
1582,129699.58098860997
1583,319440.22980466665
1584,234699.8352341397
1585,142761.9157205454
1586,67297.93920862762
1587,93074.22882025785
1588,155842.3069775303
1589,93637.11552080771
1590,136621.99135659292
1591,112036.87850977619
1592,120455.79281322988
1593,127432.03359234611
1594,122007.0018870783
1595,111425.94937799512
1596,243958.93629964782
1597,166826.4950338237
1598,196585.98981102073
1599,188308.47749877273
1600,175467.65889642903
1601,64623.37935219777
1602,112076.5870198031
1603,87589.90239570619
1604,275040.5648007138
1605,250963.13704242918
1606,173376.46978960358
1607,151563.04599097394
1608,218754.00007515083
1609,183392.6031390921
1610,164527.6633238374
1611,142225.41647374342
1612,162009.00019735892
1613,161282.87619187924
1614,124659.34412388652
1615,79916.19499102124
1616,75791.63030564324
1617,82988.78834990335
1618,129699.16790162433
1619,142262.58295823587
1620,135237.02418630815
1621,142814.14340605895
1622,140202.01521420723
1623,276433.8084522489
1624,205197.13582252007
1625,124823.70956828394
1626,171803.86559404433
1627,184187.7653611767
1628,268881.6883191048
1629,174500.0236737553
1630,302639.85107139923
1631,227326.98368545002
1632,252876.33512037332
1633,169619.3059467945
1634,181279.19602272141
1635,183459.18007542557
1636,157100.89579638306
1637,186090.73672806504
1638,201421.3747213887
1639,178218.41990137988
1640,260215.78805608666
1641,177255.07502849677
1642,218905.71383081368
1643,230819.83535714654
1644,217671.64963530347
1645,188063.10527144436
1646,157955.49282814635
1647,159816.37675587178
1648,133983.1372427323
1649,139196.64860961895
1650,116844.39734653613
1651,122565.01371876341
1652,91457.68446885436
1653,92661.51845762733
1654,153237.56018583465
1655,155328.94840534776
1656,148958.48355607438
1657,154172.53863426522
1658,151721.1960959192
1659,152472.3250513118
1660,152369.1381948141
1661,342093.87244950386
1662,368790.4721365755
1663,357110.48494971305
1664,335553.2616768565
1665,280990.0826443621
1666,323453.17309223226
1667,367635.39783450466
1668,319916.183419762
1669,297714.27033086197
1670,343614.99111649476
1671,274932.69357946457
1672,349314.1558060854
1673,302104.14823895344
1674,239174.40684823098
1675,180019.30252342392
1676,185841.52257307436
1677,213111.92022750134
1678,341094.56917392847
1679,333472.4623524529
1680,335509.21180975647
1681,240965.58438980102
1682,310228.3116642714
1683,182316.88303246198
1684,169010.40181458092
1685,176122.58074660448
1686,170745.0620493173
1687,166076.18762317445
1688,181885.75706407867
1689,185974.541760069
1690,183937.731398688
1691,177827.01551114663
1692,278827.9691909423
1693,168668.61184457236
1694,185539.1398648313
1695,162239.83075564538
1696,270598.73658270086
1697,165350.1538012809
1698,351280.70941800735
1699,327559.52724875155
1700,254487.11508122867
1701,245441.95060820298
1702,244916.46407202384
1703,243896.80252233386
1704,294167.1302301272
1705,226997.7855553005
1706,326998.33087712125
1707,208418.64534825666
1708,208431.6722241099
1709,262276.38970122644
1710,223048.01469355318
1711,251569.73267746676
1712,262441.34903949976
1713,265264.3276326594
1714,223081.77067000684
1715,203279.40588021092
1716,178328.52781871025
1717,167419.2553340905
1718,135620.66786868335
1719,196298.96907201197
1720,238021.53336044055
1721,164870.02892333947
1722,125193.29268664624
1723,155852.23319311798
1724,209139.67844558373
1725,238144.1982346589
1726,185124.81292346885
1727,154696.9221162048
1728,181705.68562613765
1729,168029.57169210757
1730,161911.73456047938
1731,119999.50227955094
1732,130530.1153627205
1733,113266.19390792736
1734,126399.52026214656
1735,134072.78518404663
1736,114418.34444616079
1737,324649.9081021695
1738,196686.17838159774
1739,262514.1593019427
1740,192081.01066288666
1741,178737.72524105443
1742,178521.83845253242
1743,165864.00513134393
1744,320395.1690817764
1745,213320.48491127207
1746,199593.42192775474
1747,219299.4885053519
1748,225094.4197247483
1749,156382.4878529875
1750,127317.59117300942
1751,234288.15600068265
1752,121364.60367794053
1753,141126.08005805904
1754,188630.4767025703
1755,156329.96540878297
1756,124931.91532488067
